x,y,z
0.833588,-0.414444,0.401459
0.865952,-0.396942,0.404938
0.882538,-0.388992,0.401871
0.773804,-0.425949,0.499191
0.788589,-0.411087,0.499176
0.732132,-0.414536,0.515564
0.72821,-0.422913,0.491043
0.664368,-0.427353,0.544846
0.650436,-0.459061,0.587463
0.653473,-0.455688,0.533463
0.616592,-0.466446,0.540512
0.625427,-0.492493,0.546936
0.621536,-0.504639,0.56398
0.64209,-0.516602,0.513931
0.631821,-0.516983,0.514633
0.646393,-0.545181,0.52359
0.618652,-0.510635,0.545563
0.633804,-0.546173,0.595657
0.639023,-0.561234,0.593597
0.642761,-0.50148,0.540344
0.613693,-0.540833,0.59848
0.593964,-0.500748,0.60817
0.544754,-0.561417,0.638962
0.547302,-0.527405,0.621918
0.491165,-0.512146,0.628082
0.462708,-0.568741,0.577942
0.418945,-0.614075,0.605972
0.378433,-0.605682,0.625839
0.402359,-0.616379,0.657761
0.487152,-0.654449,0.65036
0.455856,-0.64537,0.65506
0.448563,-0.617798,0.584167
0.499985,-0.550995,0.642807
0.398956,-0.625885,0.650742
0.377625,-0.639893,0.653961
0.402878,-0.605453,0.646118
0.42012,-0.598572,0.691711
0.441483,-0.582596,0.650116
0.409195,-0.577881,0.636444
0.375732,-0.635635,0.657608
0.381653,-0.631699,0.674179
0.35556,-0.611374,0.648895
0.367584,-0.637726,0.63324
0.367508,-0.652985,0.631073
0.363663,-0.655441,0.636581
0.337524,-0.660019,0.644928
