x,y,z
-0.041,1.04364,0.067795
-0.45694,0.878983,-0.213654
-0.107544,0.976166,-0.021255
-0.385559,0.994492,-0.061386
-0.323395,0.908554,-0.11763
-0.3228,0.980911,-0.061996
-0.359421,0.947525,-0.165039
-0.080399,1.032486,0.162491
-0.283081,0.857635,-0.11911
-0.239761,0.948517,0.008514
-0.116898,0.976044,0.174301
-0.116898,0.976044,0.174301
-0.021774,0.983536,0.326096
-0.069305,0.856186,0.307632
0.007767,0.8358,0.459106
1705,2.246628,0.462921
-0.251007,0.891113,-0.090607
-0.339615,0.975388,-0.032089
-0.37973,0.860153,-0.186554
-0.270706,0.925385,-0.040558
-0.211502,0.972137,-0.008804
-0.196503,1.020447,-0.07814
-0.439484,1.263428,-0.271912
-0.000519,1.211975,-0.131775
-0.053146,0.864655,0.076553
-0.251617,0.715393,0.137161
-0.468109,0.737198,0.092758
-0.454666,1.056122,0.444412
0.089783,0.59816,-0.314529
-0.154846,0.959503,-0.355927
-0.146179,1.0224,-0.296005
-0.276825,0.933212,-0.323547
-0.550507,1.005005,-0.160812
0.096008,1.629501,-0.149948
-0.121719,0.683517,0.121704
-0.336304,0.83046,-0.031952
-0.578323,1.414429,0.239838
-0.2164,0.938187,-0.149216
-0.05423,1.024368,-0.013916
-0.455811,1.56189,-0.209534
-0.396637,0.904388,-0.162766
-0.352676,1.227997,-0.022324
-0.513565,1.111832,-0.137833
-0.177856,0.659088,-0.114975
-0.353012,0.662186,-0.09964
-0.26268,1.143524,-0.005554
-0.883804,1.772705,0.368591
-0.040436,0.826477,-0.450607
-0.21489,0.552124,-0.303772
-0.123749,-0.064545,-0.80365
-0.09343,-0.01796,-0.832153
0.110825,-0.349396,-0.891541
0.197739,-0.535934,-1.052902
-0.118469,-0.540009,-0.785568
0.307373,-0.199417,-0.863068
-0.249954,-0.62973,-0.657318
-0.249954,-0.62973,-0.657318
