Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,MagX,MagY,MagZ
461772259.370702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.403658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.437042,0.011368,-0.165527,-0.965820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.470370,0.057892,-0.267059,-0.912811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.503674,0.019241,-0.217728,-0.866638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.537053,0.065125,-0.145981,-1.059647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.570378,0.081131,-0.168320,-0.999603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.603865,0.094681,-0.193314,-0.981277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.637117,0.049347,-0.164658,-0.957840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.669990,0.099426,-0.143326,-1.011414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.703708,-0.017944,-0.149063,-0.943756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.736993,-0.010635,-0.139160,-0.901031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.771451,0.016296,-0.139633,-0.980331,0.008887,0.164469,-0.003120,0.003531,0.037325,0.084962,-0.259307,0.024691,-0.130533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.803686,0.068680,-0.211853,-0.938431,0.012701,0.156678,-0.007096,0.021497,0.013429,-0.021591,-0.044908,0.124588,-0.088408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.836200,0.038589,-0.168549,-0.955887,0.020329,0.161813,-0.006145,0.034488,-0.039087,0.050530,-0.164751,0.019787,0.164260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.870385,0.035706,-0.126968,-1.025665,0.021395,0.151432,0.000895,0.016571,0.020666,-0.032102,-0.209437,-0.010386,0.216677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.903819,-0.005753,-0.100418,-0.998276,0.015425,0.147992,0.007064,0.010043,0.025458,-0.035127,-0.046907,-0.237147,0.177478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.937121,0.034988,-0.149857,-1.004196,0.009506,0.147676,0.012066,-0.015155,0.046721,-0.009205,0.219308,-0.000368,0.162515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772259.970708,-0.014328,-0.124847,-1.018021,0.013240,0.155052,0.020630,0.006863,-0.006412,-0.010160,0.169709,0.113735,0.331797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772260.003172,0.009964,-0.151016,-0.998199,0.013385,0.158794,0.031567,-0.025530,0.036835,-0.051992,0.284228,0.125239,0.297185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
461772260.037150,-0.005051,-0.160950,-0.969589,0.015146,0.168100,0.039942,-0.004968,0.016293,-0.012408,0.225494,0.057594,0.224210,348.997833,350.092377,10.000000,4.145432,14.480499,-43.032059
461772260.070554,-0.005432,-0.142715,-1.000702,0.011621,0.170406,0.047189,-0.015511,0.012295,-0.002160,0.053829,-0.112153,0.235570,348.625458,349.720001,10.000000,4.472758,14.188614,-43.231052
461772260.103788,-0.012939,-0.161530,-0.960907,0.007806,0.175094,0.057127,-0.018108,0.023154,0.014023,0.166515,0.057326,0.150579,348.767517,349.862061,10.000000,4.300483,13.948257,-43.595882
461772260.137102,-0.011108,-0.145584,-0.997726,0.007611,0.175266,0.061741,-0.018603,0.028786,-0.013075,-0.013212,0.032143,0.122626,347.820740,348.915283,10.000000,4.576124,13.467514,-43.728546
461772260.170458,0.019165,-0.167175,-0.968216,0.003780,0.173010,0.063339,0.014938,0.007720,0.006030,-0.121484,-0.208471,0.019274,347.418030,348.512573,10.000000,4.541667,12.952454,-43.828045
461772260.203778,-0.012283,-0.134232,-0.996002,-0.003832,0.168266,0.066302,-0.004828,0.012611,-0.002137,-0.060028,-0.187091,0.158610,348.079956,349.174500,10.000000,4.300483,13.261490,-43.396885
461772260.237129,-0.006683,-0.133194,-0.968384,-0.009777,0.165579,0.071664,-0.003907,0.035810,0.000589,0.122668,-0.120712,0.120316,347.775543,348.870087,10.000000,4.093754,13.398834,-43.396889
461772260.270448,-0.022247,-0.146194,-0.982681,-0.016245,0.164245,0.074282,-0.005337,0.009928,0.025108,-0.025942,-0.168158,0.083060,346.663849,347.758392,10.000000,4.403852,13.433167,-43.231056
461772260.303781,-0.012375,-0.145645,-0.984512,-0.020647,0.161131,0.077481,0.008018,0.023228,-0.009242,0.018597,-0.109438,0.085257,345.145752,346.240295,10.000000,4.886226,13.227158,-43.894379
461772260.337284,-0.017609,-0.140808,-1.004486,-0.023680,0.160009,0.080074,0.005477,0.014445,-0.009465,0.048402,-0.106956,0.100091,343.988953,345.083496,10.000000,4.989589,12.986771,-43.794880
461772260.370412,0.002823,-0.157135,-1.001068,-0.023905,0.165017,0.084348,0.012028,0.025170,-0.017254,0.330938,0.077348,0.134567,344.097290,345.191833,10.000000,4.713947,12.780746,-43.993874
461772260.403900,-0.026489,-0.150955,-0.980621,-0.020192,0.173790,0.088158,0.015934,0.002766,-0.000326,0.252363,-0.011718,0.112858,344.951721,346.046265,10.000000,4.059297,12.128326,-43.828045
461772260.437146,0.011307,-0.192902,-0.991470,-0.022974,0.179497,0.091489,-0.002833,0.028556,-0.008132,0.296879,0.005032,0.075215,345.347687,346.442230,10.000000,3.990388,11.990982,-44.358704
461772260.470388,-0.001602,-0.193573,-1.028748,-0.017973,0.190413,0.093374,0.028954,-0.003637,-0.009703,0.367532,0.141132,0.073153,345.269135,346.363678,10.000000,3.990388,11.647598,-44.557701
461772260.503060,-0.005646,-0.194656,-0.979874,-0.016339,0.202056,0.096288,0.011703,0.021606,-0.052106,0.369211,-0.036742,0.072487,343.888611,344.983154,10.000000,4.334941,10.892166,-44.358707
