Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,Quat.X,Quat.Y,Quat.Z,Quat.W,RM11,RM12,RM13,RM21,RM22,RM23,RM31,RM32,RM33,GravAcc_X,GravAcc_Y,GravAcc_Z,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,MagX,MagY,MagZ,Lat,Long,LocAccuracy,Course,Speed,Altitude
462520370.064676,-0.023254,-0.050644,-1.000305,-0.021938,0.050906,-0.246978,-0.023904,0.014016,0.123405,-0.991969,0.969149,-0.245498,0.021908,0.244158,0.968400,0.050884,-0.033707,-0.043965,0.998464,-0.021908,-0.050884,-0.998464,0.000469,-0.001469,0.001165,-0.009590,0.002918,0.000425,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
462520370.097286,0.011459,-0.996567,-0.112793,-0.021938,0.050906,-0.246978,-0.023904,0.014016,0.123405,-0.991969,0.969149,-0.245498,0.021908,0.244158,0.968400,0.050884,-0.033707,-0.043965,0.998464,-0.021908,-0.050884,-0.998464,0.000469,-0.001469,0.001165,-0.009590,0.002918,0.000425,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
462520370.130655,-0.009781,-1.003510,-0.119904,-0.021938,0.050906,-0.246978,-0.023904,0.014016,0.123405,-0.991969,0.969149,-0.245498,0.021908,0.244158,0.968400,0.050884,-0.033707,-0.043965,0.998464,-0.021908,-0.050884,-0.998464,0.000469,-0.001469,0.001165,-0.009590,0.002918,0.000425,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
462520370.163959,0.005264,-0.999283,-0.134857,-0.021938,0.050906,-0.246978,-0.023904,0.014016,0.123405,-0.991969,0.969149,-0.245498,0.021908,0.244158,0.968400,0.050884,-0.033707,-0.043965,0.998464,-0.021908,-0.050884,-0.998464,0.000469,-0.001469,0.001165,-0.009590,0.002918,0.000425,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
462520370.197300,0.028702,-0.984955,-0.108154,-0.021938,0.050906,-0.246978,-0.023904,0.014016,0.123405,-0.991969,0.969149,-0.245498,0.021908,0.244158,0.968400,0.050884,-0.033707,-0.043965,0.998464,-0.021908,-0.050884,-0.998464,0.000469,-0.001469,0.001165,-0.009590,0.002918,0.000425,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
462520370.229869,0.029404,-0.974792,-0.115112,-0.021938,0.050906,-0.246978,-0.023904,0.014016,0.123405,-0.991969,0.969149,-0.245498,0.021908,0.244158,0.968400,0.050884,-0.033707,-0.043965,0.998464,-0.021908,-0.050884,-0.998464,0.000469,-0.001469,0.001165,-0.009590,0.002918,0.000425,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
462520370.263956,0.004730,-0.990906,-0.102478,-0.021938,0.050906,-0.246978,-0.023904,0.014016,0.123405,-0.991969,0.969149,-0.245498,0.021908,0.244158,0.968400,0.050884,-0.033707,-0.043965,0.998464,-0.021908,-0.050884,-0.998464,0.000469,-0.001469,0.001165,-0.009590,0.002918,0.000425,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
462520370.297365,0.036545,-0.984344,-0.113953,0.101267,1.457456,-0.090470,0.666095,0.007645,-0.000022,0.745828,0.999883,0.010151,-0.011434,0.010218,0.112635,0.993584,0.011374,-0.993585,0.112519,0.011434,-0.993584,-0.112519,0.001536,0.002464,0.005204,-0.011582,-0.009632,-0.002665,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
462520370.330636,0.044601,-0.976440,-0.122772,0.150378,1.455462,-0.139636,0.665595,0.009680,-0.002098,0.746248,0.999804,0.009755,-0.017240,0.016017,0.113959,0.993356,0.011655,-0.993438,0.113780,0.017240,-0.993356,-0.113780,0.026018,0.013742,-0.006337,0.011081,-0.024151,0.053757,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
462520370.364062,0.009903,-0.987259,-0.116135,0.187947,1.452604,-0.177283,0.664794,0.011348,-0.003820,0.746931,0.999713,0.009381,-0.022032,0.020795,0.116069,0.993023,0.011873,-0.993197,0.115841,0.022032,-0.993023,-0.115841,0.014147,0.014020,-0.004322,-0.019180,0.012424,-0.016414,4.388969,5.489102,10.000000,-4.039389,42.583389,-33.562111,28.709440,77.206289,65.000000,-1.000000,-1.000000,205.556824
