Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,GravAcc_X,GravAcc_Y,GravAcc_Z,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,Lat,Long,LocAccuracy,Course,Speed,Altitude
462463448.472710,-0.068008,-0.404388,-0.785736,0.113618,0.297445,-2.271131,0.108395,-0.293079,-0.949924,-0.002606,0.187793,0.029590,0.263954,-0.305208,0.154790,259.579834,260.676544,-1.000000,28.710226,77.206876,5.000000,269.625519,5.050000,206.580078
462463448.505673,-0.019913,-0.410049,-0.861511,0.113618,0.297445,-2.271131,0.108395,-0.293079,-0.949924,-0.002606,0.187793,0.029590,0.263954,-0.305208,0.154790,259.579834,260.676544,-1.000000,28.710257,77.206732,5.000000,270.703125,0.000000,200.770264
462463448.539336,-0.058090,-0.410751,-0.940292,0.113618,0.297445,-2.271131,0.108395,-0.293079,-0.949924,-0.002606,0.187793,0.029590,0.263954,-0.305208,0.154790,259.579834,260.676544,-1.000000,28.710257,77.206732,5.000000,270.703125,0.000000,200.770264
462463448.572821,-0.107071,-0.377441,-1.033630,0.113618,0.297445,-2.271131,0.108395,-0.293079,-0.949924,-0.002606,0.187793,0.029590,0.263954,-0.305208,0.154790,259.579834,260.676544,-1.000000,28.710257,77.206732,5.000000,270.703125,0.000000,200.770264
462463448.605814,-0.032379,-0.399216,-1.109940,0.113618,0.297445,-2.271131,0.108395,-0.293079,-0.949924,-0.002606,0.187793,0.029590,0.263954,-0.305208,0.154790,259.579834,260.676544,-1.000000,28.710868,77.207756,575.653072,-1.000000,-1.000000,200.770264
462463448.639666,-0.183685,-0.343414,-1.151215,0.113618,0.297445,-2.271131,0.108395,-0.293079,-0.949924,-0.002606,0.187793,0.029590,0.263954,-0.305208,0.154790,259.579834,260.676544,-1.000000,28.711317,77.208510,575.653121,-1.000000,-1.000000,200.770264
462463448.672672,-0.366486,-0.237885,-1.235229,0.113618,0.297445,-2.271131,0.108395,-0.293079,-0.949924,-0.002606,0.187793,0.029590,0.263954,-0.305208,0.154790,259.579834,260.676544,-1.000000,28.711317,77.208510,575.653121,-1.000000,-1.000000,200.770264
462463448.706004,-0.170578,-0.182556,-1.335251,-0.086548,0.475684,0.022223,-0.076843,-0.457946,-0.885652,-0.175339,0.248199,-0.446150,0.370152,0.077181,0.194738,259.579834,260.676544,-1.000000,28.711317,77.208510,575.653121,-1.000000,-1.000000,200.770264
462463448.739434,-0.167114,-0.232422,-1.190170,-0.089765,0.487998,0.029442,-0.079180,-0.468859,-0.879717,-0.078306,0.269197,-0.389814,0.291554,-0.096232,0.061663,259.579834,260.676544,-1.000000,28.711317,77.208510,575.653121,-1.000000,-1.000000,200.770264
462463448.771956,-0.329712,-0.282486,-0.873550,-0.093094,0.487605,0.022809,-0.082126,-0.468511,-0.879632,-0.168072,0.201025,-0.134086,-0.214473,-0.221183,-0.315509,259.579834,260.676544,-1.000000,28.711317,77.208510,575.653121,-1.000000,-1.000000,200.770264
462463448.805982,-0.285477,-0.295090,-0.778412,-0.089135,0.483054,0.010871,-0.078832,-0.464486,-0.882065,-0.277202,0.177132,0.056214,-0.041687,0.117142,-0.244357,259.579834,260.676544,-1.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463448.839347,-0.182449,-0.281982,-0.752792,-0.081124,0.491251,0.008305,-0.071452,-0.471729,-0.878843,-0.166982,0.183613,0.111098,0.419158,0.186380,0.006141,259.579834,260.676544,-1.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463448.872634,-0.080811,-0.298599,-0.658905,-0.078635,0.502228,0.007963,-0.068853,-0.481379,-0.873804,-0.014627,0.185313,0.189005,-0.052323,0.065196,-0.102397,259.579834,260.676544,-1.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463448.905978,-0.128952,-0.359375,-0.569824,-0.077640,0.502390,0.006971,-0.067978,-0.481521,-0.873794,-0.064179,0.137695,0.306869,0.107010,-0.048523,0.104919,259.579834,260.676544,-1.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463448.939319,-0.092804,-0.364410,-0.633011,-0.085959,0.506629,0.016500,-0.075069,-0.485232,-0.871157,-0.017735,0.120822,0.238146,0.111534,-0.134711,0.281497,259.579834,260.676544,-1.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463448.972623,-0.093063,-0.405014,-0.772171,-0.092951,0.505216,0.021647,-0.081221,-0.483996,-0.871293,0.021819,0.111712,0.127640,-0.102485,-0.176904,0.019196,259.579834,260.676544,-1.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463449.006049,-0.237442,-0.443527,-0.889847,-0.098381,0.501024,0.014759,-0.086150,-0.480324,-0.872850,-0.084016,0.037133,0.053453,-0.178018,-0.297249,-0.281529,259.579834,260.676544,-1.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463449.039307,-0.280334,-0.416702,-0.991791,-0.116013,0.489818,0.011393,-0.102142,-0.470466,-0.876487,-0.178192,0.053763,-0.115304,-0.233660,-0.016330,-0.273541,259.579834,260.676544,-1.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463449.072652,-0.218887,-0.410034,-1.113312,-0.107143,0.484953,0.005034,-0.094607,-0.466167,-0.879624,-0.151166,0.058178,-0.210953,-0.105364,0.327804,-0.074684,293.989990,295.086700,25.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463449.105272,-0.178329,-0.386230,-1.174805,-0.100222,0.484475,0.004185,-0.088540,-0.465744,-0.880479,-0.100363,0.059601,-0.248626,0.004283,0.430635,-0.030950,294.779114,295.875824,25.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463449.139299,-0.164856,-0.414337,-1.169556,-0.080675,0.491398,0.004206,-0.071052,-0.471859,-0.878806,-0.103386,0.070782,-0.295327,0.200070,0.456835,-0.015074,294.301300,295.398010,25.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463449.172744,-0.115921,-0.388840,-1.136551,-0.068280,0.496962,0.008933,-0.059974,-0.476757,-0.876987,-0.082146,0.077206,-0.269757,0.122671,0.345792,0.261168,293.974945,295.071655,25.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463449.205954,0.113525,-0.403748,-1.138687,-0.084224,0.491020,0.024343,-0.074185,-0.471526,-0.878726,0.070828,0.058058,-0.256176,-0.363975,-0.741506,0.537910,292.846069,293.942780,25.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463449.239309,-0.096222,-0.251495,-1.220001,-0.119138,0.477727,0.043201,-0.105549,-0.459762,-0.881747,0.202946,0.084990,-0.265134,-0.161014,-0.597576,0.544127,291.653412,292.750122,25.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
462463449.272641,-0.173920,-0.244766,-1.285202,-0.131794,0.486963,0.069089,-0.116137,-0.467944,-0.876094,-0.029447,0.219393,-0.389928,0.722031,0.274939,0.816689,290.559753,291.656464,25.000000,28.710256,77.206524,65.000000,-1.000000,-1.000000,201.005875
