Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,GravAcc_X,GravAcc_Y,GravAcc_Z,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,Lat,Long,LocAccuracy,Course,Speed,Altitude
462463527.305632,0.173630,-0.347824,-1.129593,-0.042036,0.236003,0.095167,-0.040858,-0.233818,-0.971422,0.158580,-0.146584,-0.151885,0.115386,-0.311452,-0.426536,330.877563,331.974274,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.338965,0.318268,-0.374405,-1.099030,-0.068985,0.241639,0.095826,-0.066927,-0.239294,-0.968638,0.249148,-0.049768,-0.189886,0.163153,-1.083453,0.273279,331.451141,332.547852,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.372286,0.409424,-0.403778,-0.990845,-0.088853,0.242842,0.101556,-0.086132,-0.240462,-0.966829,0.404400,-0.133943,-0.132200,0.071261,-1.153836,0.342820,331.846619,332.943329,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.405592,0.183594,-0.287354,-0.954742,-0.149106,0.236558,0.114487,-0.144417,-0.234358,-0.961364,0.434792,-0.050600,0.046645,-0.488970,-1.458917,0.419661,331.745758,332.842468,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.438997,0.270187,-0.317856,-0.846054,-0.190826,0.235807,0.127002,-0.184421,-0.233627,-0.954677,0.373248,-0.085586,-0.001454,0.708223,-0.618458,0.252072,331.399445,332.496155,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.472270,0.086838,-0.264938,-0.843155,-0.190302,0.274336,0.140994,-0.182082,-0.270908,-0.945227,0.400680,-0.022137,0.134986,1.284616,0.401445,0.292676,331.215546,332.312256,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.505600,0.115341,-0.283844,-0.880508,-0.195057,0.295760,0.159081,-0.185407,-0.291467,-0.938441,0.176206,0.011529,-0.034932,0.396264,-0.443620,0.322368,331.268158,332.364868,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.539007,-0.112900,-0.261887,-0.797501,-0.236289,0.293766,0.171728,-0.224068,-0.289559,-0.930564,0.298530,-0.012610,0.137549,-0.030766,-1.526670,0.527541,330.624451,331.721161,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.572354,0.006989,-0.316391,-0.780487,-0.290038,0.303124,0.196927,-0.272950,-0.298504,-0.914546,0.193970,-0.005894,0.125956,0.979090,-1.196647,0.671055,328.419708,329.516418,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.605701,-0.032181,-0.306198,-0.865601,-0.334952,0.328771,0.229642,-0.311117,-0.322880,-0.893842,0.318106,0.006489,0.113355,0.877717,-1.046471,0.670004,328.174072,329.270782,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
